pdb,execution_time
pdb8szs_A_hinge_0_sigma0.8948929172439201.pdb,4.306172
pdb4qfy_A_hinge_4_sigma0.8948929172439201.pdb,1.523232
pdb4qfy_A_hinge_3_sigma0.8948929172439201.pdb,1.580403
pdb4qfy_A_hinge_0_sigma0.8948929172439201.pdb,1.585487
pdb4qfy_A_hinge_1_sigma0.8948929172439201.pdb,1.533864
pdb4qfy_A_hinge_5_sigma0.8948929172439201.pdb,1.462392
pdb4qfy_A_hinge_2_sigma0.8948929172439201.pdb,1.471488
pdb3lsn_A_hinge_4_sigma0.8948929172439201.pdb,1.077606
pdb3lsn_A_hinge_1_sigma0.8948929172439201.pdb,1.107565
pdb3lsn_A_hinge_2_sigma0.8948929172439201.pdb,1.179763
pdb3lsn_A_hinge_5_sigma0.8948929172439201.pdb,1.148804
pdb3lsn_A_hinge_3_sigma0.8948929172439201.pdb,1.147962
pdb3lsn_A_hinge_0_sigma0.8948929172439201.pdb,1.161486
pdb5go0_A_hinge_0_sigma0.8948929172439201.pdb,0.019062
pdb5go0_A_hinge_1_sigma0.8948929172439201.pdb,0.01372
pdb5go0_A_hinge_2_sigma0.8948929172439201.pdb,0.074148
pdb4rxt_A_hinge_0_sigma0.8948929172439201.pdb,0.566232
pdb4rxt_A_hinge_4_sigma0.8948929172439201.pdb,0.547436
pdb4rxt_A_hinge_5_sigma0.8948929172439201.pdb,0.520594
pdb4rxt_A_hinge_1_sigma0.8948929172439201.pdb,0.549941
pdb4rxt_A_hinge_2_sigma0.8948929172439201.pdb,0.585389
pdb4rxt_A_hinge_3_sigma0.8948929172439201.pdb,0.526456
pdb6f75_A_hinge_1_sigma0.8948929172439201.pdb,0.458489
pdb6f75_A_hinge_5_sigma0.8948929172439201.pdb,0.458597
pdb6f75_A_hinge_2_sigma0.8948929172439201.pdb,0.51829
pdb6f75_A_hinge_0_sigma0.8948929172439201.pdb,0.607636
pdb6f75_A_hinge_4_sigma0.8948929172439201.pdb,0.48385
pdb6f75_A_hinge_3_sigma0.8948929172439201.pdb,0.500717
pdb6sfj_A_hinge_2_sigma0.8948929172439201.pdb,0.54693
pdb6sfj_A_hinge_0_sigma0.8948929172439201.pdb,0.58946
pdb6sfj_A_hinge_3_sigma0.8948929172439201.pdb,0.594139
pdb6sfj_A_hinge_4_sigma0.8948929172439201.pdb,0.489991
pdb6sfj_A_hinge_5_sigma0.8948929172439201.pdb,0.535724
pdb6sfj_A_hinge_1_sigma0.8948929172439201.pdb,0.542463
pdb7ji2_A_hinge_4_sigma0.8948929172439201.pdb,0.346264
pdb7ji2_A_hinge_5_sigma0.8948929172439201.pdb,0.316838
