pdb_pair,execution_time
pdb2qoc_A_original_pdb2qoc_A_hinge_5_sigma0.8948929172439201.command,0.0142739993
pdb6nkb_A_original_pdb6nkb_A_hinge_2_sigma0.8948929172439201.command,0.00787900016
pdb7s0l_A_original_pdb7s0l_A_hinge_3_sigma0.8948929172439201.command,0.0175979994
pdb7b8b_A_original_pdb7b8b_A_hinge_0_sigma0.8948929172439201.command,0.15464568138122559
pdb6q8k_A_original_pdb6q8k_A_hinge_2_sigma0.8948929172439201.command,0.0141090006
pdb6xrv_A_original_pdb6xrv_A_hinge_2_sigma0.8948929172439201.command,0.15264606475830078
pdb5i49_A_original_pdb5i49_A_hinge_0_sigma0.8948929172439201.command,0.23522257804870605
pdb7e5u_A_original_pdb7e5u_A_hinge_3_sigma0.8948929172439201.command,0.0154480003
pdb8u98_A_original_pdb8u98_A_hinge_4_sigma0.8948929172439201.command,0.0187439956
pdb1wg2_A_original_pdb1wg2_A_hinge_0_sigma0.8948929172439201.command,0.09473872184753418
pdb5g1x_A_original_pdb5g1x_A_hinge_1_sigma0.8948929172439201.command,0.13712716102600098
pdb2x7c_A_original_pdb2x7c_A_hinge_0_sigma0.8948929172439201.command,0.18552374839782715
pdb7au9_A_original_pdb7au9_A_hinge_1_sigma0.8948929172439201.command,0.2208080291748047
pdb7vvg_A_original_pdb7vvg_A_hinge_5_sigma0.8948929172439201.command,0.00683199987
pdb3f9t_A_original_pdb3f9t_A_hinge_4_sigma0.8948929172439201.command,0.0108339973
pdb4lpq_A_original_pdb4lpq_A_hinge_5_sigma0.8948929172439201.command,0.00808999874
pdb4uav_A_original_pdb4uav_A_hinge_1_sigma0.8948929172439201.command,0.00958000124
pdb2rkv_A_original_pdb2rkv_A_hinge_5_sigma0.8948929172439201.command,0.0197359994
pdb7fsa_A_original_pdb7fsa_A_hinge_0_sigma0.8948929172439201.command,0.24043774604797363
pdb5a4w_A_original_pdb5a4w_A_hinge_2_sigma0.8948929172439201.command,0.00917699747
pdb3ey7_A_original_pdb3ey7_A_hinge_1_sigma0.8948929172439201.command,0.00547800027
pdb3fka_A_original_pdb3fka_A_hinge_4_sigma0.8948929172439201.command,0.00489499979
pdb4xhs_A_original_pdb4xhs_A_hinge_2_sigma0.8948929172439201.command,0.0176189989
pdb6f9t_A_original_pdb6f9t_A_hinge_4_sigma0.8948929172439201.command,0.1966850757598877
pdb5hht_A_original_pdb5hht_A_hinge_5_sigma0.8948929172439201.command,0.0490449965
pdb6p44_A_original_pdb6p44_A_hinge_0_sigma0.8948929172439201.command,0.10052633285522461
pdb7r28_A_original_pdb7r28_A_hinge_0_sigma0.8948929172439201.command,0.15227484703063965
pdb7qpp_A_original_pdb7qpp_A_hinge_5_sigma0.8948929172439201.command,0.140059232711792
pdb4mp4_A_original_pdb4mp4_A_hinge_4_sigma0.8948929172439201.command,0.00872899964
pdb4mzk_A_original_pdb4mzk_A_hinge_5_sigma0.8948929172439201.command,0.00418899953
pdb4n1i_A_original_pdb4n1i_A_hinge_3_sigma0.8948929172439201.command,0.00778400153
pdb6ta7_A_original_pdb6ta7_A_hinge_2_sigma0.8948929172439201.command,0.00913899951
